Channel name,Video id,Video title,Video description,Video thumbnail,Video category,Video rating,Video view count,Video like count,Video comment count,Video license,Video duration,Video publish time
b'Football Forever',ly8GsM8SS7s,b'My PL 22/23 Predictions \xf0\x9f\xa4\xa9\xf0\x9f\x8f\x86\xf0\x9f\x8e\x89\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #football #shorts #premierleague #manchestercity #liverpool',b'',https://i.ytimg.com/vi/ly8GsM8SS7s/hqdefault.jpg,22,12.34055176505488,3371,116,30,False,PT38S,2022-07-28T01:58:48Z
b'FUTxSamay',qWUbtziK428,b'Real Madrid vs Eintracht Frankfurt \xf0\x9f\x94\xa5\xf0\x9f\xa5\xb6',b'#shorts #football #supercup \n#realmadrid #eintrachtfrankfurt #benzema #viral #shortvideo #trending',https://i.ytimg.com/vi/qWUbtziK428/hqdefault.jpg,20,10.453727763341995,10006,856,19,False,PT47S,2022-08-12T09:04:12Z
b'FUTxSamay',SjMTMpLp_Gw,b'Facts Every Football Fans Should Accept \xf0\x9f\x92\x94 #shorts',b'',https://i.ytimg.com/vi/SjMTMpLp_Gw/hqdefault.jpg,20,18.960932706074864,4889,467,46,False,PT31S,2022-08-16T07:37:42Z
b'Football_DUDE',Egv8X8VgKa8,b'Messi vs Ronaldo \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7x\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\xf0\x9f\x90\x90\xf0\x9f\x94\xa5\xf0\x9f\xa5\xb6',b'',https://i.ytimg.com/vi/Egv8X8VgKa8/hqdefault.jpg,22,18.681007642230398,3533,230,43,False,PT45S,2022-07-20T14:04:58Z
b'Football_DUDE',yZgPWL6PcnI,b'Ronaldo VS Messi \xf0\x9f\x90\x90\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\xf0\x9f\x98\xb1\xf0\x9f\x98\x88\xf0\x9f\x94\xa5',b'',https://i.ytimg.com/vi/yZgPWL6PcnI/hqdefault.jpg,22,12.038277511961724,10450,508,75,False,PT45S,2022-07-20T23:38:47Z
b'HyperXAbhyuday',EmHZTu9py1E,b'Ozil reveals his secret chip strategy..\xf0\x9f\xa5\xb6',b'',https://i.ytimg.com/vi/EmHZTu9py1E/hqdefault.jpg,20,11.719328743715614,101243,9945,192,False,PT32S,2022-08-17T15:45:44Z
b'HyperXAbhyuday',fKvLj_AWeP0,b'Ronaldo had gone to BUY shoes\xf0\x9f\x91\x9f!',b'',https://i.ytimg.com/vi/fKvLj_AWeP0/hqdefault.jpg,20,8.989108849539242,338899,26764,370,False,PT18S,2022-08-15T15:54:31Z
b'Football Forever',vHytJTujJNw,b'Messi in La Liga \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa5\xb0\xf0\x9f\x98\x8d #football #shorts #messi #barcelona #laliga',b'',https://i.ytimg.com/vi/vHytJTujJNw/hqdefault.jpg,22,8.970099667774086,1204,58,5,False,PT28S,2022-08-11T20:36:28Z
b'ShakinBacon',vHdLsqDvqRU,b'TLR vs VBR - Which attacking trio will shine this season',b'',https://i.ytimg.com/vi/vHdLsqDvqRU/hqdefault.jpg,1,13.449920508744038,3145,363,6,False,PT54S,2022-08-19T07:11:00Z
b'giago Agus\xe2\x9e\x90',GPgxY1x6l58,b'Mo Salah\xe2\x9d\xa4\xef\xb8\x8f',b'',https://i.ytimg.com/vi/GPgxY1x6l58/hqdefault.jpg,22,7.876712328767123,3504,246,3,False,PT19S,2022-08-02T15:42:27Z
