Channel name,Video id,Video title,Video description,Video rating,Video view count,Video like count,Video comment count,Video license,Video duration,Video publish time
b'G.O.A.T\xe2\x9a\xbd',ZbStbrvAU2c,b'Who made u fall in love with football?\xe2\x9a\xbd\xf0\x9f\x90\x90',b'',20.577617328519857,1662,172,17,False,PT10S,2022-07-06T14:18:07Z
b'G.O.A.T\xe2\x9a\xbd',ZbStbrvAU2c,b'Who made u fall in love with football?\xe2\x9a\xbd\xf0\x9f\x90\x90',b'',20.577617328519857,1662,172,17,False,PT10S,2022-07-06T14:18:07Z
b'G.O.A.T\xe2\x9a\xbd',ZbStbrvAU2c,b'Who made u fall in love with football?\xe2\x9a\xbd\xf0\x9f\x90\x90',b'',20.577617328519857,1662,172,17,False,PT10S,2022-07-06T14:18:07Z
b'G.O.A.T\xe2\x9a\xbd',ZbStbrvAU2c,b'Who made u fall in love with football?\xe2\x9a\xbd\xf0\x9f\x90\x90',b'',20.577617328519857,1662,172,17,False,PT10S,2022-07-06T14:18:07Z
b'G.O.A.T\xe2\x9a\xbd',E0JyNzSQBE8,b'Try not to laugh Manager edition \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82',b'',16.901408450704224,1349,158,7,False,PT29S,2022-07-05T17:07:27Z
b'Football Forever',HjK3sYyYu2w,b'Messi Top 10 Goals \xf0\x9f\xa4\xa9\xf0\x9f\x94\xa5\xf0\x9f\xa5\xb0\xf0\x9f\x90\x90\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 #football #shorts #messi #barcelona #argentina',b'',10.469530469530469,5005,414,11,False,PT43S,2022-06-26T04:34:45Z
b'Foot Mood',n7IL55J4Dys,b'Rarest moments',b'',7.8454718718547225,233485,17898,42,False,PT28S,2022-07-10T19:39:26Z
b'Foot Mood',mGvSz0OF-Fk,b'The art of defening \xf0\x9f\x98\x8d',b'',8.03817301300921,42124,3226,16,False,PT30S,2022-07-11T04:31:25Z
b'FunChannel',2pNyuvjYxX4,b'This Messi solo \xf0\x9f\x98\xa4\xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8',b'#shorts',10.440224652811919,172889,16990,106,False,PT22S,2022-07-10T16:00:01Z
b'G.O.A.T\xe2\x9a\xbd',ZbStbrvAU2c,b'Who made u fall in love with football?\xe2\x9a\xbd\xf0\x9f\x90\x90',b'',20.577617328519857,1662,172,17,False,PT10S,2022-07-06T14:18:07Z
b'G.O.A.T\xe2\x9a\xbd',E0JyNzSQBE8,b'Try not to laugh Manager edition \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82',b'',16.901408450704224,1349,158,7,False,PT29S,2022-07-05T17:07:27Z
b'Football Forever',HjK3sYyYu2w,b'Messi Top 10 Goals \xf0\x9f\xa4\xa9\xf0\x9f\x94\xa5\xf0\x9f\xa5\xb0\xf0\x9f\x90\x90\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 #football #shorts #messi #barcelona #argentina',b'',10.469530469530469,5005,414,11,False,PT43S,2022-06-26T04:34:45Z
b'Football Forever',HjK3sYyYu2w,b'Messi Top 10 Goals \xf0\x9f\xa4\xa9\xf0\x9f\x94\xa5\xf0\x9f\xa5\xb0\xf0\x9f\x90\x90\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 #football #shorts #messi #barcelona #argentina',b'',10.469530469530469,5005,414,11,False,PT43S,2022-06-26T04:34:45Z
