Channel name,Video id,Video title,Video description,Video thumbnail,Video category,Video rating,Video view count,Video like count,Video comment count,Video license,Video duration,Video publish time
b'FunChannel',OaD33nDQnWA,b'Tchouameni prime is loading.. \xf0\x9f\x94\x8b',b'',https://i.ytimg.com/vi/OaD33nDQnWA/hqdefault.jpg,17,28.84710539336962,2021,453,13,False,PT9S,2022-08-31T14:00:11Z
b'FunChannel',EFjPrmZHS3A,b'The difference between Bayern and Barcelona.. \xf0\x9f\x98\xac',b'',https://i.ytimg.com/vi/EFjPrmZHS3A/hqdefault.jpg,17,26.82309638831378,4347,866,30,False,PT10S,2022-08-17T14:00:06Z
b'OX',OQbqJyRgV7k,"b""She's from Italia \xf0\x9f\x92\xab! #shorts""",b'old edit \xf0\x9f\x98\x85',https://i.ytimg.com/vi/OQbqJyRgV7k/hqdefault.jpg,22,26.804700615556797,1787,309,17,False,PT10S,2022-08-29T12:30:13Z
b'Foot Mood',QhghJivvSlg,b'animals in football \xf0\x9f\x90\xb6',b'',https://i.ytimg.com/vi/QhghJivvSlg/hqdefault.jpg,22,21.508453680873547,22712,4675,21,False,PT39S,2022-08-06T14:00:18Z
b'FunChannel',coFCiz9fREU,b'Mbappe pushes Messi after he didn\xe2\x80\x99t pass him \xf0\x9f\x98\xb3',b'#shorts',https://i.ytimg.com/vi/coFCiz9fREU/hqdefault.jpg,17,21.180839680241707,15887,1915,145,False,PT15S,2022-08-16T14:00:15Z
b'FunChannel',d0PXN0fHn-8,b'Vinicius x Neymar \xf0\x9f\x98\x8d\xf0\x9f\xa5\xb0',b'',https://i.ytimg.com/vi/d0PXN0fHn-8/hqdefault.jpg,17,21.05445116681072,5785,988,23,False,PT9S,2022-09-06T12:00:17Z
b'FunChannel',5gfk-V3YIVg,b'Alaba is more than a defender.. \xf0\x9f\x98\x8d',b'',https://i.ytimg.com/vi/5gfk-V3YIVg/hqdefault.jpg,17,20.556309362279514,8844,1528,29,False,PT9S,2022-08-15T14:00:04Z
b'FunChannel',gRxlaadqbiE,b'Unlucky Ronaldo.. \xf0\x9f\x98\x95',b'',https://i.ytimg.com/vi/gRxlaadqbiE/hqdefault.jpg,17,20.219064535227947,6756,1136,23,False,PT12S,2022-09-09T12:00:30Z
b'FunChannel',zY9YK4tnMTw,b'Prime Mbappe \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82',b'',https://i.ytimg.com/vi/zY9YK4tnMTw/hqdefault.jpg,17,19.78681879597658,6661,1168,15,False,PT9S,2022-09-09T10:00:40Z
b'FunChannel',3Z4HuJwgxck,b'This pass from Lewandowski.. \xf0\x9f\x98\x8d',b'',https://i.ytimg.com/vi/3Z4HuJwgxck/hqdefault.jpg,17,19.575633127994525,4383,708,15,False,PT11S,2022-08-13T10:00:03Z
b'FunChannel',-wI8-e8KYqs,b'Neymar teaches Mbappe how to do it.. \xf0\x9f\xab\xa3',b'',https://i.ytimg.com/vi/-wI8-e8KYqs/hqdefault.jpg,17,19.254901960784313,12750,2035,42,False,PT17S,2022-08-15T12:00:01Z
b'FunChannel',Jm51JbLw00Y,b'Neymar tries to teach Messi how to dance.. \xf0\x9f\x95\xba',b'',https://i.ytimg.com/vi/Jm51JbLw00Y/hqdefault.jpg,17,18.5510567863509,7854,1277,18,False,PT18S,2022-08-31T10:00:14Z
b'FunChannel',capuJDxlTOQ,b'Messi took that personally against Ronaldo.. \xf0\x9f\x98\xae\xe2\x80\x8d\xf0\x9f\x92\xa8',b'',https://i.ytimg.com/vi/capuJDxlTOQ/hqdefault.jpg,17,16.806525438647967,17041,2164,70,False,PT23S,2022-09-06T10:00:30Z
b'HyperXAbhyuday',ByYo2WtXvnw,b'Oblak\xe2\x80\x99s biggest nightmare\xf0\x9f\x94\xa5\xf0\x9f\x98\x88',b'',https://i.ytimg.com/vi/ByYo2WtXvnw/hqdefault.jpg,20,16.745636800876213,83998,11656,241,False,PT20S,2022-08-05T13:15:22Z
b'Foot Mood',JLjJ2RoMKas,b'Comedy moments in football\xf0\x9f\xa4\xa3',b'',https://i.ytimg.com/vi/JLjJ2RoMKas/hqdefault.jpg,22,16.158972642341986,32861,5150,16,False,PT30S,2022-08-07T21:41:38Z
b'FunChannel',yF1VdxfXNQw,b'MMN is unstoppable \xf0\x9f\x98\xb3',b'#shorts',https://i.ytimg.com/vi/yF1VdxfXNQw/hqdefault.jpg,17,15.961052566709805,16227,1920,67,False,PT17S,2022-09-03T10:00:26Z
