Channel name,Video id,Video title,Video description,Video thumbnail,Video category,Video rating,Video view count,Video like count,Video comment count,Video license,Video duration,Video publish time
b'Football_DUDE',Egv8X8VgKa8,b'Messi vs Ronaldo \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7x\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\xf0\x9f\x90\x90\xf0\x9f\x94\xa5\xf0\x9f\xa5\xb6',b'',https://i.ytimg.com/vi/Egv8X8VgKa8/hqdefault.jpg,22,18.57638888888889,3456,222,42,False,PT45S,2022-07-20T14:04:58Z
b'HyperXAbhyuday',fKvLj_AWeP0,b'Ronaldo had gone to BUY shoes\xf0\x9f\x91\x9f!',b'',https://i.ytimg.com/vi/fKvLj_AWeP0/hqdefault.jpg,20,16.793950850661627,39675,5413,125,False,PT18S,2022-08-15T15:54:31Z
b'Football Forever',ly8GsM8SS7s,b'My PL 22/23 Predictions \xf0\x9f\xa4\xa9\xf0\x9f\x8f\x86\xf0\x9f\x8e\x89\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #football #shorts #premierleague #manchestercity #liverpool',b'',https://i.ytimg.com/vi/ly8GsM8SS7s/hqdefault.jpg,22,12.595962468012512,3517,123,32,False,PT38S,2022-07-28T01:58:48Z
b'Football_DUDE',yZgPWL6PcnI,b'Ronaldo VS Messi \xf0\x9f\x90\x90\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\xf0\x9f\x98\xb1\xf0\x9f\x98\x88\xf0\x9f\x94\xa5',b'',https://i.ytimg.com/vi/yZgPWL6PcnI/hqdefault.jpg,22,12.274596646630814,9483,454,71,False,PT45S,2022-07-20T23:38:47Z
b'HyperXAbhyuday',VgLr5roCzBQ,b'The story of a Manchester United fan..\xf0\x9f\xa5\xb2',b'',https://i.ytimg.com/vi/VgLr5roCzBQ/hqdefault.jpg,20,11.611445402599653,277037,24158,801,False,PT26S,2022-08-14T16:30:07Z
b'FUTxSamay',1uxPenaY620,b'Speed Reaction On Manchester United \xf0\x9f\x98\xb3\xf0\x9f\xa5\xb6',b'',https://i.ytimg.com/vi/1uxPenaY620/hqdefault.jpg,20,10.724391624221845,3534,269,11,False,PT49S,2022-08-15T09:56:05Z
b'Football Forever',vHytJTujJNw,b'Messi in La Liga \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa5\xb0\xf0\x9f\x98\x8d #football #shorts #messi #barcelona #laliga',b'',https://i.ytimg.com/vi/vHytJTujJNw/hqdefault.jpg,22,9.178321678321678,1144,55,5,False,PT28S,2022-08-11T20:36:28Z
b'ATF SHORTS PRODUCTIONS',b0H8q5Kwbyc,b'Real Madrid VS FC Bayern Munich 2017 UEFA Champions League QF Highlights #youtube #shorts #football',b'',https://i.ytimg.com/vi/b0H8q5Kwbyc/hqdefault.jpg,22,8.175219661275946,39265,2850,36,False,PT59S,2022-08-14T12:23:41Z
b'giago Agus\xe2\x9e\x90',GPgxY1x6l58,b'Mo Salah\xe2\x9d\xa4\xef\xb8\x8f',b'',https://i.ytimg.com/vi/GPgxY1x6l58/hqdefault.jpg,22,7.695507487520799,2404,155,3,False,PT19S,2022-08-02T15:42:27Z
b'giago Agus\xe2\x9e\x90',pNJ_TCDNZzA,b'Lewandowski first goal for fc Barcelona \xf0\x9f\x92\x99\xe2\x9d\xa4\xef\xb8\x8f',b'',https://i.ytimg.com/vi/pNJ_TCDNZzA/hqdefault.jpg,22,7.6750448833034115,2228,151,2,False,PT14S,2022-08-07T21:40:53Z
b'FUTxSamay',n9acgK-LPPA,b'FIFA 23 Player Ratings Upgrades & Downgrades',b'',https://i.ytimg.com/vi/n9acgK-LPPA/hqdefault.jpg,20,6.80506329113924,9875,492,18,False,PT11S,2022-08-14T07:52:19Z
b'FunChannel',cIM0Nlh8Xe4,b'Di Maria ankel breaker against Isco.. \xf0\x9f\xa5\xb5',b'',https://i.ytimg.com/vi/cIM0Nlh8Xe4/hqdefault.jpg,17,6.170737639414892,57562,3212,34,False,PT6S,2022-08-13T12:00:19Z
b'Cristianofan.7',ZFyfaWH0gIw,b'Nunez or Kane or Leawandowski \xf0\x9f\xa5\xb6\xf0\x9f\x92\xa8',b'',https://i.ytimg.com/vi/ZFyfaWH0gIw/hqdefault.jpg,22,5.821753713464303,4174,233,1,False,PT18S,2022-08-07T09:57:14Z
b'Saad Bilal',S769niYxozI,b'FAX Or Cap (Part 2) \xf0\x9f\x98\x88\xf0\x9f\xa5\xb6',b'',https://i.ytimg.com/vi/S769niYxozI/hqdefault.jpg,20,5.169628432956381,1857,56,4,False,PT13S,2022-08-12T10:52:41Z
b'ShakinBacon',XeqUXY7vwRI,b'Battle of the Youngsters\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 #diagonalxstuntertocupfinals',b'',https://i.ytimg.com/vi/XeqUXY7vwRI/hqdefault.jpg,1,4.929655478010413,9027,255,19,False,PT18S,2022-08-08T14:00:34Z
b'OX',n7P2gvaFvTU,b'Owners of UCL \xf0\x9f\x8f\x86',b'',https://i.ytimg.com/vi/n7P2gvaFvTU/hqdefault.jpg,22,4.904802334318978,102471,3666,136,False,PT16S,2022-08-11T05:38:52Z
b'Cristianofan.7',Xm2Xqx-tlYA,b'Cristiano Ronaldo reaction to Halland debut \xf0\x9f\x98\xb3\xf0\x9f\x94\xa5 Halland or Nunez \xf0\x9f\xa5\xb6\xf0\x9f\x92\xa8 #mancity #manutd #liverpool',b'',https://i.ytimg.com/vi/Xm2Xqx-tlYA/hqdefault.jpg,22,4.460475090042262,96066,3895,39,False,PT24S,2022-08-08T04:32:41Z
b'ShakinBacon',I5WwOslU3gI,b'Clubs and their best goals in 21/22 - Part 1',b'',https://i.ytimg.com/vi/I5WwOslU3gI/hqdefault.jpg,1,4.052817361746634,7649,260,5,False,PT28S,2022-08-07T02:05:45Z
