Channel name,Video id,Video title,Video publish time
b'SINBAD - LOL',dwX7iwicSmA,b'PERFECT CHALLENGER PENTAKILL MOMENTS',2021-09-22T09:23:34Z
b'SINBAD - LOL',bke5i_IKcv0,b'LoL Daily Moments Ep 1 League of Legends Best Plays Montage 2021',2021-09-20T13:11:46Z
b'SINBAD - LOL',qz7ReCyEFq0,"b'TOP PENTAKILLS August 2021 (Ultimate Spellbook Katarina, Akshan Penta...)'",2021-08-12T12:00:33Z
b'SINBAD - LOL',gsLJo819iDM,b'ADC TEEMO IS NEW META',2021-08-09T15:00:32Z
b'SINBAD - LOL',-rdJ3KLsSG0,b'TEEMO MONTAGE - &quot;GANK ME PLEASE&quot; | SINBAD LOL',2021-08-02T06:00:00Z
b'FOOT BALL',ryMWfhM2gAE,b'Mbappe vs Kid \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',2022-05-18T19:00:13Z
b'FOOT BALL',uJYO8CJwiHY,b'Eden Hazard flashbacks \xf0\x9f\x98\xa5\xf0\x9f\x98\xa5',2022-05-17T17:30:03Z
b'FOOT BALL',GP7v0Y3YngQ,b'Lionel Messi &amp; Alphonso Davies \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0',2022-05-17T15:46:07Z
b'FOOT BALL',4ANVk2loEko,b'Cristiano Ronaldo talks about his sacrifices!! #cr7 #football #cristiano #motivation',2021-10-02T16:00:01Z
b'FOOT BALL',4GB7yrS095s,b'Jorginho didn\xe2\x80\x99t like to be told that he is Sari\xe2\x80\x99s son\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f #jorginho #chelseafc #football',2021-10-01T15:00:02Z
