Channel name,Video id,Video title
b'Sara LoL',8vdCpAlpzTw,b'GREATEST PRO OUTPLAYS | LOL'
b'Sara LoL',RA7lvq6V4mM,b'AMAZING PENTAKILLS'
b'Sara LoL',asFhB8reFOE,"b'PERFECT PLAY MOMENTS LOL (Zeri AP Oneshot, Ryze outplay funny...)'"
b'Sara LoL',Oi7oEB8IvAM,b'FAST PENTAKILL GODS'
b'Sara LoL',LISbLmkfa4M,b'NICE PRO OUTPLAYS...'
b'Lolga Spotlight',HSPnUphmQgs,b'Viego Montage - BEST PLAYS S12'
b'Lolga Spotlight',n5353RXtw74,b'Zeri Montage - CLEAN'
b'Lolga Spotlight',g_fxPgiCVZw,b'Kayn Montage - BEST PLAYS'
b'Lolga Spotlight',2TbRrZeITzk,b'Akali Montage - CLEAN'
b'Lolga Spotlight',ZOycWErIjjU,b'Katarina Montage -  CLEAN'
b'High Elo TV',7POa9_e9DRg,b'100% EASY PENTAKILL MOMENTS'
b'High Elo TV',9fskHrQOPD0,b'10 Minutes of 100% CHALLENGER PLAYS'
b'High Elo TV',DI0n59nZySE,b'100% PRO OUTPLAY MOMENTS'
b'High Elo TV',qtkGN298Er4,b'KATARINA MONTAGE - PERFECT OUTPLAYS'
b'High Elo TV',mZjR28NHKTU,b'JAX MONTAGE - PRO PLAYS'
b'LOL TIME',9zu7dxOJGTw,b'BEL&#39;VETH MONTAGE - BEST PLAYS'
b'LOL TIME',8JADhW4q09Q,b'KAYN MONTAGE 2022 - BEST PLAYS'
b'LOL TIME',3G8xjyIjffo,b'PYKE MONTAGE 2022 - BEST PLAYS'
b'LOL TIME',3IrQKDQQT-U,b'LUCIAN MONTAGE 2022 - BEST PLAYS'
b'LOL TIME',GKEAilbkHtg,b'WARWICK MONTAGE 2022 - PERFECT'
b'Synotik v2',fbjMqo5GP3Y,b'League of MID LANERS #2 - League of Legends Montage'
b'Synotik v2',iaHkiKcMuxI,b'xFSN Saber &quot;RANK 1 CAITLYN&quot; Montage - League of Legends'
b'Synotik v2',os_jsK6oKn4,b'TF Blade &quot;Rank 1 GLOBAL&quot; Montage - League of Legends'
b'Synotik v2',6Qbj_ICjgeY,b'What HIGH LEVEL KHA&#39;ZIX SKILL Looks Like! - League of Legends'
b'Synotik v2',9QId9MOfWwc,"b'What 10,000 HOURS of KATARINA Experience Looks Like - Best of KatEvolved'"
